Country,edu_level,year,sum
Italy,Doctoral or equivalent level,2013,1085
Italy,Doctoral or equivalent level,2014,1170
Italy,Doctoral or equivalent level,2015,1197
Italy,Doctoral or equivalent level,2016,1160
Italy,Doctoral or equivalent level,2017,1168
Italy,Doctoral or equivalent level,2018,1001
Italy,Doctoral or equivalent level,2019,1141
Italy,Doctoral or equivalent level,2020,1194
Italy,Doctoral or equivalent level,2021,570
Japan,Short-cycle tertiary education,2013,0
Japan,Short-cycle tertiary education,2015,0
Japan,Short-cycle tertiary education,2016,0
Japan,Short-cycle tertiary education,2017,20558
Japan,Short-cycle tertiary education,2018,23294
Japan,Short-cycle tertiary education,2019,29195
Japan,Short-cycle tertiary education,2020,31600
Japan,Short-cycle tertiary education,2021,34134
Japan,Bachelor or equivalent level,2013,0
Japan,Bachelor or equivalent level,2015,0
Japan,Bachelor or equivalent level,2016,0
Japan,Bachelor or equivalent level,2017,11690
Japan,Bachelor or equivalent level,2018,10912
Japan,Bachelor or equivalent level,2019,11917
Japan,Bachelor or equivalent level,2020,12825
Japan,Bachelor or equivalent level,2021,14150
Japan,Master or equivalent level,2013,0
Japan,Master or equivalent level,2015,0
Japan,Master or equivalent level,2016,0
Japan,Master or equivalent level,2017,10993
Japan,Master or equivalent level,2018,10774
Japan,Master or equivalent level,2019,12545
Japan,Master or equivalent level,2020,14071
Japan,Master or equivalent level,2021,14474
Japan,Doctoral or equivalent level,2013,0
Japan,Doctoral or equivalent level,2015,0
Japan,Doctoral or equivalent level,2016,0
Japan,Doctoral or equivalent level,2017,3075
Japan,Doctoral or equivalent level,2018,2950
Japan,Doctoral or equivalent level,2019,3518
Japan,Doctoral or equivalent level,2020,3608
Japan,Doctoral or equivalent level,2021,3907
Korea,Short-cycle tertiary education,2013,0
Korea,Short-cycle tertiary education,2014,0
Korea,Short-cycle tertiary education,2015,0
Korea,Short-cycle tertiary education,2016,666
Korea,Short-cycle tertiary education,2017,652
Korea,Short-cycle tertiary education,2018,750
Korea,Short-cycle tertiary education,2019,876
Korea,Short-cycle tertiary education,2020,1410
Korea,Short-cycle tertiary education,2021,1475
Korea,Bachelor or equivalent level,2013,0
