"COUNTRY","Country","SEX","Gender","ORIGIN","Country of origin","EDUCATION_LEV","Education level","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","F","Female","002","Africa","ISCED11_6","Bachelor’s or equivalent level","2017","2017",1107,,
"AUS","Australia","F","Female","002","Africa","ISCED11_6","Bachelor’s or equivalent level","2018","2018",1217,,
"AUS","Australia","F","Female","002","Africa","ISCED11_6","Bachelor’s or equivalent level","2019","2019",1179,,
"AUS","Australia","F","Female","002","Africa","ISCED11_6","Bachelor’s or equivalent level","2020","2020",1205,,
"AUS","Australia","F","Female","002","Africa","ISCED11_6","Bachelor’s or equivalent level","2021","2021",1089,,
"AUS","Australia","M","Male","002","Africa","ISCED11_6","Bachelor’s or equivalent level","2013","2013",1184,,
"AUS","Australia","M","Male","002","Africa","ISCED11_6","Bachelor’s or equivalent level","2014","2014",1001,,
"AUS","Australia","M","Male","002","Africa","ISCED11_6","Bachelor’s or equivalent level","2015","2015",810,,
"AUS","Australia","M","Male","002","Africa","ISCED11_6","Bachelor’s or equivalent level","2016","2016",967,,
"AUS","Australia","M","Male","002","Africa","ISCED11_6","Bachelor’s or equivalent level","2017","2017",889,,
"AUS","Australia","M","Male","002","Africa","ISCED11_6","Bachelor’s or equivalent level","2018","2018",989,,
"AUS","Australia","M","Male","002","Africa","ISCED11_6","Bachelor’s or equivalent level","2019","2019",881,,
"AUS","Australia","M","Male","002","Africa","ISCED11_6","Bachelor’s or equivalent level","2020","2020",939,,
"AUS","Australia","M","Male","002","Africa","ISCED11_6","Bachelor’s or equivalent level","2021","2021",887,,
"AUS","Australia","_T","Total","002","Africa","ISCED11_6","Bachelor’s or equivalent level","2013","2013",2499,,
"AUS","Australia","_T","Total","002","Africa","ISCED11_6","Bachelor’s or equivalent level","2014","2014",2141,,
